id_vente,date_vente,produit,quantite,prix_unitaire,total_vente,categorie,vendeur
V01072,2025-07-27,Casque Bluetooth JBL,1,45,45,Audio,Sow Mamadou
V01073,2025-02-23,Écran Dell 24’’,5,190,950,Informatique,Sow Mamadou
V01074,2025-10-18,Souris Gamer Logitech G502,5,60,300,Accessoires,Sow Mamadou
V01075,2025-09-20,Imprimante Canon Pixma,1,120,120,Informatique,Barry Fatou
V01076,2025-01-05,Disque SSD 512 Go,10,120,1200,Stockage,Bah Mariama
V01077,2025-06-26,Haut-parleur JBL Go 3,4,40,160,Audio,Diallo Ibrahima
V01078,2025-07-11,Disque SSD 512 Go,9,120,1080,Stockage,Sow Mamadou
V01079,2025-03-13,Écran Dell 24’’,14,190,2660,Informatique,Diallo Ibrahima
V01080,2025-02-08,Câble HDMI 2m,1,5,5,Accessoires,Sow Mamadou
V01081,2025-11-10,Souris Logitech M185,18,15,270,Accessoires,Barry Fatou
V01082,2025-01-15,Clé USB 32 Go SanDisk,20,8,160,Accessoires,Camara Ousmane
V01083,2025-08-31,Écran Dell 24’’,8,190,1520,Informatique,Diallo Ibrahima
V01084,2025-08-07,Souris Logitech M185,1,15,15,Accessoires,Barry Fatou
V01085,2025-05-02,Imprimante Epson EcoTank,10,160,1600,Informatique,Barry Fatou
V01086,2025-04-05,Écran Dell 24’’,14,190,2660,Informatique,Barry Fatou
V01087,2025-02-24,Haut-parleur Bluetooth,5,30,150,Audio,Barry Fatou
V01088,2025-06-10,Câble HDMI 2m,7,5,35,Accessoires,Camara Ousmane
V01089,2025-08-19,Imprimante Canon Pixma,19,120,2280,Informatique,Bah Mariama
V01090,2025-03-15,Ordinateur Lenovo ThinkPad,20,970,19400,Informatique,Camara Ousmane
V01091,2025-02-28,Imprimante Canon Pixma,6,120,720,Informatique,Diallo Ibrahima
V01092,2025-02-03,Souris Logitech M185,18,15,270,Accessoires,Bah Mariama
V01093,2025-08-21,Souris Gamer Logitech G502,3,60,180,Accessoires,Barry Fatou
V01094,2025-03-28,Casque Sony WH-CH510,2,55,110,Audio,Camara Ousmane
V01095,2025-09-25,Imprimante Canon Pixma,9,120,1080,Informatique,Sow Mamadou
V01096,2025-11-01,Câble HDMI 2m,20,5,100,Accessoires,Barry Fatou
V01097,2025-09-20,Disque Dur Externe 1To,13,75,975,Stockage,Camara Ousmane
V01098,2025-08-08,Clé USB 32 Go SanDisk,17,8,136,Accessoires,Sow Mamadou
V01099,2025-01-14,Souris Logitech M185,14,15,210,Accessoires,Bah Mariama
V01100,2025-10-11,Ordinateur Lenovo ThinkPad,14,970,13580,Informatique,Barry Fatou
V01101,2025-10-29,Téléphone iPhone 13,7,950,6650,Téléphonie,Bah Mariama
V01102,2025-10-31,Disque Dur Externe 1To,10,75,750,Stockage,Sow Mamadou
V01103,2025-03-11,Clé USB 64 Go Kingston,1,12,12,Accessoires,Camara Ousmane
V01104,2025-05-20,Casque Sony WH-CH510,2,55,110,Audio,Bah Mariama
V01105,2025-10-27,Souris Gamer Logitech G502,12,60,720,Accessoires,Sow Mamadou
V01106,2025-03-25,Casque Bluetooth JBL,5,45,225,Audio,Camara Ousmane
V01107,2025-07-25,Haut-parleur JBL Go 3,18,40,720,Audio,Camara Ousmane
V01108,2025-01-14,Ordinateur Portable HP,20,750,15000,Informatique,Diallo Ibrahima
V01109,2025-09-23,Imprimante Epson EcoTank,16,160,2560,Informatique,Bah Mariama
V01110,2025-10-03,Clé USB 64 Go Kingston,16,12,192,Accessoires,Sow Mamadou
V01111,2025-08-10,Casque Bluetooth JBL,8,45,360,Audio,Camara Ousmane
V01112,2025-11-06,Imprimante Epson EcoTank,15,160,2400,Informatique,Barry Fatou
V01113,2025-09-10,Clé USB 32 Go SanDisk,15,8,120,Accessoires,Diallo Ibrahima
V01114,2025-03-25,Casque Sony WH-CH510,18,55,990,Audio,Barry Fatou
V01115,2025-04-27,Disque SSD 512 Go,6,120,720,Stockage,Diallo Ibrahima
V01116,2025-01-21,Casque Sony WH-CH510,15,55,825,Audio,Camara Ousmane
V01117,2025-09-01,Clé USB 32 Go SanDisk,3,8,24,Accessoires,Diallo Ibrahima
V01118,2025-08-25,Ordinateur Lenovo ThinkPad,10,970,9700,Informatique,Barry Fatou
V01119,2025-08-14,Haut-parleur JBL Go 3,19,40,760,Audio,Sow Mamadou
V01120,2025-03-26,Téléphone iPhone 13,14,950,13300,Téléphonie,Bah Mariama
V01121,2025-10-15,Souris Gamer Logitech G502,17,60,1020,Accessoires,Barry Fatou
V01122,2025-09-03,Casque Bluetooth JBL,16,45,720,Audio,Barry Fatou
V01123,2025-03-15,Imprimante Epson EcoTank,9,160,1440,Informatique,Bah Mariama
V01124,2025-09-02,Casque Sony WH-CH510,7,55,385,Audio,Diallo Ibrahima
V01125,2025-03-06,Ordinateur Portable Dell,20,880,17600,Informatique,Camara Ousmane
V01126,2025-05-29,Haut-parleur Bluetooth,13,30,390,Audio,Sow Mamadou
V01127,2025-10-27,Casque Sony WH-CH510,6,55,330,Audio,Diallo Ibrahima
V01128,2025-02-05,Souris Logitech M185,10,15,150,Accessoires,Barry Fatou
V01129,2025-10-22,Souris Gamer Logitech G502,3,60,180,Accessoires,Sow Mamadou
V01130,2025-10-27,Disque Dur Externe 1To,16,75,1200,Stockage,Barry Fatou
V01131,2025-02-04,Disque Dur Externe 1To,10,75,750,Stockage,Barry Fatou
V01132,2025-02-18,Clé USB 64 Go Kingston,2,12,24,Accessoires,Camara Ousmane
V01133,2025-06-27,Ordinateur Portable Dell,9,880,7920,Informatique,Bah Mariama
V01134,2025-03-01,Câble HDMI 2m,2,5,10,Accessoires,Barry Fatou
V01135,2025-08-11,Téléphone Samsung A15,1,210,210,Téléphonie,Diallo Ibrahima
V01136,2025-10-30,Souris Gamer Logitech G502,11,60,660,Accessoires,Barry Fatou
V01137,2025-09-01,Téléphone iPhone 13,6,950,5700,Téléphonie,Sow Mamadou
V01138,2025-05-11,Téléphone iPhone 13,11,950,10450,Téléphonie,Camara Ousmane
V01139,2025-04-01,Imprimante Epson EcoTank,12,160,1920,Informatique,Bah Mariama
V01140,2025-07-22,Clavier mécanique Redragon,5,60,300,Accessoires,Barry Fatou
V01141,2025-09-29,Clé USB 64 Go Kingston,2,12,24,Accessoires,Camara Ousmane
V01142,2025-10-18,Imprimante Canon Pixma,17,120,2040,Informatique,Sow Mamadou
V01143,2025-04-18,Écran Dell 24’’,17,190,3230,Informatique,Bah Mariama
V01144,2025-02-22,Ordinateur Portable Dell,18,880,15840,Informatique,Barry Fatou
V01145,2025-05-09,Casque Sony WH-CH510,12,55,660,Audio,Bah Mariama
V01146,2025-09-13,Câble HDMI 2m,18,5,90,Accessoires,Sow Mamadou
V01147,2025-04-01,Imprimante Canon Pixma,15,120,1800,Informatique,Diallo Ibrahima
V01148,2025-11-01,Souris Gamer Logitech G502,4,60,240,Accessoires,Barry Fatou
V01149,2025-03-06,Téléphone Samsung A15,6,210,1260,Téléphonie,Sow Mamadou
V01150,2025-08-13,Casque Sony WH-CH510,1,55,55,Audio,Camara Ousmane
V01151,2025-06-12,Ordinateur Portable HP,3,750,2250,Informatique,Diallo Ibrahima
V01152,2025-01-18,Haut-parleur Bluetooth,16,30,480,Audio,Camara Ousmane
V01153,2025-05-29,Ordinateur Portable HP,15,750,11250,Informatique,Camara Ousmane
V01154,2025-08-17,Ordinateur Portable HP,14,750,10500,Informatique,Diallo Ibrahima
V01155,2025-01-29,Écran Dell 24’’,16,190,3040,Informatique,Sow Mamadou
V01156,2025-02-21,Casque Sony WH-CH510,18,55,990,Audio,Barry Fatou
V01157,2025-02-04,Haut-parleur Bluetooth,19,30,570,Audio,Barry Fatou
V01158,2025-10-15,Casque Bluetooth JBL,20,45,900,Audio,Camara Ousmane
V01159,2025-10-11,Disque SSD 512 Go,20,120,2400,Stockage,Sow Mamadou
V01160,2025-10-19,Ordinateur Portable HP,20,750,15000,Informatique,Sow Mamadou
V01161,2025-09-11,Casque Bluetooth JBL,15,45,675,Audio,Bah Mariama
V01162,2025-03-10,Haut-parleur Bluetooth,5,30,150,Audio,Sow Mamadou
V01163,2025-01-25,Câble HDMI 2m,10,5,50,Accessoires,Camara Ousmane
V01164,2025-05-10,Imprimante Epson EcoTank,12,160,1920,Informatique,Sow Mamadou
V01165,2025-02-04,Ordinateur Portable Dell,14,880,12320,Informatique,Sow Mamadou
V01166,2025-08-26,Imprimante Canon Pixma,18,120,2160,Informatique,Sow Mamadou
V01167,2025-04-14,Ordinateur Portable HP,16,750,12000,Informatique,Camara Ousmane
V01168,2025-01-18,Haut-parleur JBL Go 3,11,40,440,Audio,Camara Ousmane
V01169,2025-09-02,Clé USB 64 Go Kingston,6,12,72,Accessoires,Camara Ousmane
V01170,2025-02-24,Câble HDMI 2m,13,5,65,Accessoires,Barry Fatou
V01171,2025-08-16,Ordinateur Lenovo ThinkPad,14,970,13580,Informatique,Barry Fatou
V01172,2025-03-31,Disque SSD 512 Go,19,120,2280,Stockage,Sow Mamadou
V01173,2025-04-26,Téléphone iPhone 13,5,950,4750,Téléphonie,Barry Fatou
V01174,2025-04-13,Téléphone iPhone 13,19,950,18050,Téléphonie,Sow Mamadou
V01175,2025-03-04,Câble HDMI 2m,18,5,90,Accessoires,Sow Mamadou
V01176,2025-06-16,Casque Sony WH-CH510,17,55,935,Audio,Barry Fatou
V01177,2025-05-16,Ordinateur Lenovo ThinkPad,10,970,9700,Informatique,Barry Fatou
V01178,2025-07-13,Imprimante Canon Pixma,6,120,720,Informatique,Barry Fatou
V01179,2025-06-07,Casque Sony WH-CH510,20,55,1100,Audio,Barry Fatou
V01180,2025-04-05,Téléphone Samsung A15,5,210,1050,Téléphonie,Barry Fatou
V01181,2025-01-14,Casque Bluetooth JBL,8,45,360,Audio,Camara Ousmane
V01182,2025-07-18,Souris Logitech M185,5,15,75,Accessoires,Bah Mariama
V01183,2025-03-04,Souris Logitech M185,19,15,285,Accessoires,Diallo Ibrahima
V01184,2025-08-07,Imprimante Epson EcoTank,2,160,320,Informatique,Barry Fatou
V01185,2025-06-05,Imprimante Epson EcoTank,12,160,1920,Informatique,Barry Fatou
V01186,2025-04-25,Disque SSD 512 Go,4,120,480,Stockage,Bah Mariama
V01187,2025-07-19,Téléphone iPhone 13,14,950,13300,Téléphonie,Diallo Ibrahima
V01188,2025-08-14,Téléphone Samsung A15,15,210,3150,Téléphonie,Bah Mariama
V01189,2025-04-24,Ordinateur Lenovo ThinkPad,12,970,11640,Informatique,Diallo Ibrahima
V01190,2025-08-07,Clavier mécanique Redragon,17,60,1020,Accessoires,Bah Mariama
V01191,2025-05-21,Haut-parleur JBL Go 3,10,40,400,Audio,Bah Mariama
V01192,2025-06-22,Imprimante Canon Pixma,8,120,960,Informatique,Sow Mamadou
V01193,2025-07-24,Écran Dell 24’’,13,190,2470,Informatique,Camara Ousmane
V01194,2025-06-08,Écran Dell 24’’,15,190,2850,Informatique,Bah Mariama
V01195,2025-08-10,Souris Gamer Logitech G502,16,60,960,Accessoires,Diallo Ibrahima
V01196,2025-10-04,Clé USB 64 Go Kingston,8,12,96,Accessoires,Bah Mariama
V01197,2025-10-14,Souris Gamer Logitech G502,2,60,120,Accessoires,Bah Mariama
V01198,2025-01-16,Casque Bluetooth JBL,8,45,360,Audio,Barry Fatou
V01199,2025-01-04,Disque SSD 512 Go,3,120,360,Stockage,Barry Fatou
V01200,2025-08-17,Téléphone iPhone 13,5,950,4750,Téléphonie,Bah Mariama
V01201,2025-03-26,Écran Dell 24’’,10,190,1900,Informatique,Barry Fatou
V01202,2025-04-25,Haut-parleur Bluetooth,5,30,150,Audio,Bah Mariama
V01203,2025-03-28,Clé USB 64 Go Kingston,11,12,132,Accessoires,Bah Mariama
V01204,2025-07-24,Ordinateur Lenovo ThinkPad,17,970,16490,Informatique,Barry Fatou
V01205,2025-09-01,Souris Logitech M185,17,15,255,Accessoires,Camara Ousmane
V01206,2025-11-01,Téléphone Samsung A15,18,210,3780,Téléphonie,Diallo Ibrahima
V01207,2025-03-07,Téléphone iPhone 13,19,950,18050,Téléphonie,Bah Mariama
V01208,2025-06-07,Souris Logitech M185,19,15,285,Accessoires,Barry Fatou
V01209,2025-09-01,Souris Logitech M185,13,15,195,Accessoires,Sow Mamadou
V01210,2025-11-09,Imprimante Epson EcoTank,7,160,1120,Informatique,Camara Ousmane
V01211,2025-06-27,Casque Sony WH-CH510,6,55,330,Audio,Camara Ousmane
V01212,2025-07-05,Casque Bluetooth JBL,18,45,810,Audio,Camara Ousmane
V01213,2025-10-06,Clavier mécanique Redragon,20,60,1200,Accessoires,Sow Mamadou
V01214,2025-07-06,Souris Logitech M185,7,15,105,Accessoires,Bah Mariama
V01215,2025-08-01,Ordinateur Lenovo ThinkPad,2,970,1940,Informatique,Barry Fatou
V01216,2025-04-20,Câble HDMI 2m,18,5,90,Accessoires,Bah Mariama
V01217,2025-03-22,Clé USB 32 Go SanDisk,3,8,24,Accessoires,Bah Mariama
V01218,2025-02-28,Écran Dell 24’’,7,190,1330,Informatique,Barry Fatou
V01219,2025-04-05,Clé USB 32 Go SanDisk,14,8,112,Accessoires,Sow Mamadou
V01220,2025-07-01,Disque SSD 512 Go,18,120,2160,Stockage,Barry Fatou
V01221,2025-09-04,Souris Gamer Logitech G502,14,60,840,Accessoires,Sow Mamadou
V01222,2025-10-17,Téléphone Samsung A15,9,210,1890,Téléphonie,Barry Fatou
V01223,2025-03-26,Disque SSD 512 Go,2,120,240,Stockage,Camara Ousmane
V01224,2025-04-20,Haut-parleur JBL Go 3,9,40,360,Audio,Diallo Ibrahima
V01225,2025-04-29,Disque Dur Externe 1To,15,75,1125,Stockage,Camara Ousmane
V01226,2025-06-04,Ordinateur Portable HP,16,750,12000,Informatique,Diallo Ibrahima
V01227,2025-06-19,Ordinateur Portable Dell,19,880,16720,Informatique,Barry Fatou
V01228,2025-09-18,Ordinateur Lenovo ThinkPad,20,970,19400,Informatique,Diallo Ibrahima
V01229,2025-07-03,Disque SSD 512 Go,2,120,240,Stockage,Barry Fatou
V01230,2025-02-18,Clé USB 64 Go Kingston,9,12,108,Accessoires,Sow Mamadou
V01231,2025-01-25,Ordinateur Portable Dell,8,880,7040,Informatique,Bah Mariama
V01232,2025-07-04,Imprimante Epson EcoTank,9,160,1440,Informatique,Bah Mariama
V01233,2025-06-30,Clavier mécanique Redragon,16,60,960,Accessoires,Sow Mamadou
V01234,2025-02-16,Clavier mécanique Redragon,18,60,1080,Accessoires,Diallo Ibrahima
V01235,2025-02-09,Clavier mécanique Redragon,16,60,960,Accessoires,Barry Fatou
V01236,2025-05-02,Disque SSD 512 Go,7,120,840,Stockage,Sow Mamadou
V01237,2025-09-23,Imprimante Canon Pixma,11,120,1320,Informatique,Bah Mariama
V01238,2025-07-26,Téléphone iPhone 13,14,950,13300,Téléphonie,Camara Ousmane
V01239,2025-05-14,Haut-parleur JBL Go 3,5,40,200,Audio,Diallo Ibrahima
V01240,2025-02-01,Ordinateur Portable HP,19,750,14250,Informatique,Bah Mariama
V01241,2025-07-30,Disque Dur Externe 1To,20,75,1500,Stockage,Sow Mamadou
V01242,2025-02-08,Disque Dur Externe 1To,14,75,1050,Stockage,Camara Ousmane
V01243,2025-08-26,Ordinateur Portable Dell,7,880,6160,Informatique,Camara Ousmane
V01244,2025-02-24,Casque Bluetooth JBL,1,45,45,Audio,Barry Fatou
V01245,2025-01-27,Écran Dell 24’’,12,190,2280,Informatique,Camara Ousmane
V01246,2025-10-13,Disque SSD 512 Go,4,120,480,Stockage,Barry Fatou
V01247,2025-07-31,Téléphone iPhone 13,14,950,13300,Téléphonie,Sow Mamadou
V01248,2025-05-25,Imprimante Epson EcoTank,1,160,160,Informatique,Sow Mamadou
V01249,2025-03-17,Téléphone Samsung A15,6,210,1260,Téléphonie,Sow Mamadou
V01250,2025-03-11,Clavier mécanique Redragon,18,60,1080,Accessoires,Sow Mamadou
V01251,2025-07-25,Souris Logitech M185,8,15,120,Accessoires,Camara Ousmane
V01252,2025-10-16,Haut-parleur Bluetooth,19,30,570,Audio,Barry Fatou
V01253,2025-01-21,Ordinateur Lenovo ThinkPad,13,970,12610,Informatique,Diallo Ibrahima
V01254,2025-09-02,Imprimante Canon Pixma,20,120,2400,Informatique,Camara Ousmane
V01255,2025-02-03,Ordinateur Portable HP,8,750,6000,Informatique,Camara Ousmane
V01256,2025-08-12,Ordinateur Portable Dell,9,880,7920,Informatique,Camara Ousmane
V01257,2025-07-21,Haut-parleur Bluetooth,1,30,30,Audio,Bah Mariama
V01258,2025-03-07,Ordinateur Portable HP,16,750,12000,Informatique,Sow Mamadou
V01259,2025-08-05,Disque Dur Externe 1To,1,75,75,Stockage,Camara Ousmane
V01260,2025-09-28,Câble HDMI 2m,7,5,35,Accessoires,Bah Mariama
V01261,2025-10-30,Écran Dell 24’’,3,190,570,Informatique,Bah Mariama
V01262,2025-05-21,Écran Dell 24’’,9,190,1710,Informatique,Diallo Ibrahima
V01263,2025-11-01,Imprimante Canon Pixma,9,120,1080,Informatique,Bah Mariama
V01264,2025-05-16,Haut-parleur JBL Go 3,4,40,160,Audio,Camara Ousmane
V01265,2025-02-13,Écran Dell 24’’,5,190,950,Informatique,Diallo Ibrahima
V01266,2025-10-12,Casque Sony WH-CH510,12,55,660,Audio,Camara Ousmane
V01267,2025-10-26,Câble HDMI 2m,17,5,85,Accessoires,Bah Mariama
V01268,2025-07-28,Ordinateur Portable HP,6,750,4500,Informatique,Diallo Ibrahima
V01269,2025-06-19,Haut-parleur Bluetooth,1,30,30,Audio,Sow Mamadou
V01270,2025-03-29,Ordinateur Portable HP,17,750,12750,Informatique,Camara Ousmane
V01271,2025-06-20,Casque Bluetooth JBL,19,45,855,Audio,Diallo Ibrahima
V01272,2025-10-19,Souris Gamer Logitech G502,8,60,480,Accessoires,Sow Mamadou
V01273,2025-10-04,Haut-parleur Bluetooth,8,30,240,Audio,Camara Ousmane
V01274,2025-03-29,Ordinateur Portable Dell,8,880,7040,Informatique,Diallo Ibrahima
V01275,2025-07-06,Téléphone iPhone 13,9,950,8550,Téléphonie,Camara Ousmane
V01276,2025-05-30,Disque SSD 512 Go,3,120,360,Stockage,Diallo Ibrahima
V01277,2025-08-24,Haut-parleur JBL Go 3,10,40,400,Audio,Barry Fatou
V01278,2025-10-06,Disque Dur Externe 1To,1,75,75,Stockage,Camara Ousmane
V01279,2025-06-30,Écran Dell 24’’,11,190,2090,Informatique,Sow Mamadou
V01280,2025-09-05,Clé USB 32 Go SanDisk,10,8,80,Accessoires,Camara Ousmane
V01281,2025-02-24,Câble HDMI 2m,14,5,70,Accessoires,Sow Mamadou
V01282,2025-10-14,Haut-parleur Bluetooth,8,30,240,Audio,Sow Mamadou
V01283,2025-02-02,Clé USB 32 Go SanDisk,7,8,56,Accessoires,Barry Fatou
V01284,2025-03-02,Imprimante Epson EcoTank,18,160,2880,Informatique,Barry Fatou
V01285,2025-01-08,Haut-parleur Bluetooth,2,30,60,Audio,Camara Ousmane
V01286,2025-08-21,Écran Dell 24’’,19,190,3610,Informatique,Camara Ousmane
V01287,2025-09-20,Haut-parleur Bluetooth,20,30,600,Audio,Bah Mariama
V01288,2025-02-07,Souris Gamer Logitech G502,9,60,540,Accessoires,Diallo Ibrahima
V01289,2025-04-10,Souris Logitech M185,6,15,90,Accessoires,Bah Mariama
V01290,2025-04-21,Haut-parleur Bluetooth,12,30,360,Audio,Diallo Ibrahima
V01291,2025-03-28,Imprimante Canon Pixma,20,120,2400,Informatique,Camara Ousmane
V01292,2025-07-01,Ordinateur Portable Dell,7,880,6160,Informatique,Diallo Ibrahima
V01293,2025-01-18,Clé USB 32 Go SanDisk,2,8,16,Accessoires,Barry Fatou
V01294,2025-05-13,Imprimante Epson EcoTank,8,160,1280,Informatique,Camara Ousmane
V01295,2025-08-19,Imprimante Canon Pixma,2,120,240,Informatique,Bah Mariama
V01296,2025-10-05,Haut-parleur Bluetooth,8,30,240,Audio,Sow Mamadou
V01297,2025-01-19,Clé USB 32 Go SanDisk,16,8,128,Accessoires,Camara Ousmane
V01298,2025-04-03,Souris Logitech M185,8,15,120,Accessoires,Bah Mariama
V01299,2025-07-03,Haut-parleur Bluetooth,18,30,540,Audio,Barry Fatou
V01300,2025-01-04,Haut-parleur Bluetooth,17,30,510,Audio,Barry Fatou
V01301,2025-07-28,Casque Sony WH-CH510,15,55,825,Audio,Sow Mamadou
V01302,2025-08-01,Ordinateur Portable HP,16,750,12000,Informatique,Camara Ousmane
V01303,2025-02-06,Clavier mécanique Redragon,13,60,780,Accessoires,Barry Fatou
V01304,2025-01-10,Disque Dur Externe 1To,6,75,450,Stockage,Sow Mamadou
V01305,2025-05-02,Ordinateur Portable Dell,17,880,14960,Informatique,Camara Ousmane
V01306,2025-08-02,Souris Gamer Logitech G502,12,60,720,Accessoires,Diallo Ibrahima
V01307,2025-08-20,Casque Sony WH-CH510,9,55,495,Audio,Sow Mamadou
V01308,2025-05-08,Disque Dur Externe 1To,3,75,225,Stockage,Sow Mamadou
V01309,2025-01-16,Ordinateur Portable Dell,12,880,10560,Informatique,Diallo Ibrahima
V01310,2025-10-23,Casque Sony WH-CH510,15,55,825,Audio,Diallo Ibrahima
V01311,2025-07-29,Téléphone iPhone 13,18,950,17100,Téléphonie,Camara Ousmane
V01312,2025-04-10,Téléphone iPhone 13,7,950,6650,Téléphonie,Barry Fatou
V01313,2025-05-29,Imprimante Canon Pixma,3,120,360,Informatique,Barry Fatou
V01314,2025-04-16,Souris Logitech M185,15,15,225,Accessoires,Barry Fatou
V01315,2025-06-23,Clavier mécanique Redragon,15,60,900,Accessoires,Bah Mariama
V01316,2025-09-19,Imprimante Epson EcoTank,9,160,1440,Informatique,Barry Fatou
V01317,2025-03-26,Ordinateur Portable HP,13,750,9750,Informatique,Bah Mariama
V01318,2025-08-21,Ordinateur Portable Dell,5,880,4400,Informatique,Diallo Ibrahima
V01319,2025-11-05,Téléphone iPhone 13,1,950,950,Téléphonie,Barry Fatou
V01320,2025-10-10,Casque Sony WH-CH510,11,55,605,Audio,Bah Mariama
V01321,2025-03-30,Souris Gamer Logitech G502,20,60,1200,Accessoires,Diallo Ibrahima
V01322,2025-05-18,Haut-parleur Bluetooth,15,30,450,Audio,Barry Fatou
V01323,2025-01-01,Imprimante Canon Pixma,11,120,1320,Informatique,Camara Ousmane
V01324,2025-03-26,Téléphone iPhone 13,5,950,4750,Téléphonie,Barry Fatou
V01325,2025-10-11,Ordinateur Portable Dell,3,880,2640,Informatique,Camara Ousmane
V01326,2025-09-03,Haut-parleur JBL Go 3,1,40,40,Audio,Barry Fatou
V01327,2025-04-20,Ordinateur Lenovo ThinkPad,2,970,1940,Informatique,Bah Mariama
V01328,2025-06-19,Casque Bluetooth JBL,1,45,45,Audio,Barry Fatou
V01329,2025-10-19,Ordinateur Portable HP,20,750,15000,Informatique,Sow Mamadou
V01330,2025-10-21,Écran Dell 24’’,18,190,3420,Informatique,Diallo Ibrahima
V01331,2025-02-23,Souris Gamer Logitech G502,16,60,960,Accessoires,Camara Ousmane
V01332,2025-03-28,Câble HDMI 2m,5,5,25,Accessoires,Camara Ousmane
V01333,2025-05-08,Souris Logitech M185,17,15,255,Accessoires,Bah Mariama
V01334,2025-02-22,Câble HDMI 2m,9,5,45,Accessoires,Sow Mamadou
V01335,2025-09-01,Téléphone iPhone 13,10,950,9500,Téléphonie,Sow Mamadou
V01336,2025-10-30,Clé USB 32 Go SanDisk,19,8,152,Accessoires,Camara Ousmane
V01337,2025-10-11,Téléphone iPhone 13,3,950,2850,Téléphonie,Bah Mariama
V01338,2025-06-20,Haut-parleur Bluetooth,19,30,570,Audio,Camara Ousmane
V01339,2025-02-22,Casque Sony WH-CH510,12,55,660,Audio,Camara Ousmane
V01340,2025-07-10,Casque Sony WH-CH510,3,55,165,Audio,Sow Mamadou
V01341,2025-06-28,Casque Sony WH-CH510,19,55,1045,Audio,Diallo Ibrahima
V01342,2025-05-02,Casque Bluetooth JBL,7,45,315,Audio,Bah Mariama
V01343,2025-08-04,Imprimante Epson EcoTank,1,160,160,Informatique,Camara Ousmane
V01344,2025-11-08,Disque Dur Externe 1To,8,75,600,Stockage,Bah Mariama
V01345,2025-08-24,Disque SSD 512 Go,16,120,1920,Stockage,Sow Mamadou
V01346,2025-01-09,Téléphone Samsung A15,2,210,420,Téléphonie,Barry Fatou
V01347,2025-05-19,Clavier mécanique Redragon,20,60,1200,Accessoires,Sow Mamadou
V01348,2025-10-15,Téléphone Samsung A15,6,210,1260,Téléphonie,Camara Ousmane
V01349,2025-02-28,Haut-parleur JBL Go 3,15,40,600,Audio,Diallo Ibrahima
V01350,2025-08-08,Souris Logitech M185,2,15,30,Accessoires,Barry Fatou
V01351,2025-06-30,Casque Sony WH-CH510,5,55,275,Audio,Sow Mamadou
V01352,2025-06-29,Disque SSD 512 Go,2,120,240,Stockage,Sow Mamadou
V01353,2025-03-15,Souris Gamer Logitech G502,11,60,660,Accessoires,Sow Mamadou
V01354,2025-03-19,Clavier mécanique Redragon,19,60,1140,Accessoires,Diallo Ibrahima
V01355,2025-06-30,Clé USB 32 Go SanDisk,6,8,48,Accessoires,Barry Fatou
V01356,2025-03-17,Câble HDMI 2m,6,5,30,Accessoires,Diallo Ibrahima
V01357,2025-06-21,Souris Gamer Logitech G502,13,60,780,Accessoires,Diallo Ibrahima
V01358,2025-08-07,Souris Gamer Logitech G502,11,60,660,Accessoires,Sow Mamadou
V01359,2025-01-26,Disque SSD 512 Go,5,120,600,Stockage,Bah Mariama
V01360,2025-10-14,Souris Gamer Logitech G502,16,60,960,Accessoires,Barry Fatou
V01361,2025-08-08,Haut-parleur JBL Go 3,17,40,680,Audio,Barry Fatou
V01362,2025-08-29,Souris Logitech M185,8,15,120,Accessoires,Sow Mamadou
V01363,2025-10-05,Ordinateur Lenovo ThinkPad,18,970,17460,Informatique,Bah Mariama
V01364,2025-06-22,Casque Bluetooth JBL,12,45,540,Audio,Barry Fatou
V01365,2025-07-30,Imprimante Epson EcoTank,13,160,2080,Informatique,Bah Mariama
V01366,2025-02-18,Imprimante Canon Pixma,6,120,720,Informatique,Bah Mariama
V01367,2025-08-21,Écran Dell 24’’,14,190,2660,Informatique,Barry Fatou
V01368,2025-01-02,Clé USB 32 Go SanDisk,4,8,32,Accessoires,Diallo Ibrahima
V01369,2025-07-03,Souris Gamer Logitech G502,15,60,900,Accessoires,Diallo Ibrahima
V01370,2025-03-12,Imprimante Epson EcoTank,20,160,3200,Informatique,Sow Mamadou
V01371,2025-07-04,Souris Logitech M185,17,15,255,Accessoires,Diallo Ibrahima
V01372,2025-08-25,Ordinateur Portable Dell,5,880,4400,Informatique,Diallo Ibrahima
V01373,2025-01-19,Câble HDMI 2m,15,5,75,Accessoires,Bah Mariama
V01374,2025-07-27,Haut-parleur Bluetooth,13,30,390,Audio,Bah Mariama
V01375,2025-03-11,Câble HDMI 2m,2,5,10,Accessoires,Barry Fatou
V01376,2025-05-06,Casque Bluetooth JBL,17,45,765,Audio,Diallo Ibrahima
V01377,2025-05-19,Câble HDMI 2m,5,5,25,Accessoires,Bah Mariama
V01378,2025-07-20,Casque Bluetooth JBL,12,45,540,Audio,Diallo Ibrahima
V01379,2025-10-16,Haut-parleur JBL Go 3,17,40,680,Audio,Camara Ousmane
V01380,2025-09-24,Clé USB 64 Go Kingston,3,12,36,Accessoires,Sow Mamadou
V01381,2025-04-06,Disque Dur Externe 1To,1,75,75,Stockage,Sow Mamadou
V01382,2025-07-03,Haut-parleur JBL Go 3,1,40,40,Audio,Camara Ousmane
V01383,2025-03-26,Téléphone Samsung A15,7,210,1470,Téléphonie,Sow Mamadou
